,id_x,user_id,timestamp,loan_amount,loan_purpose,outcome,interest,webvisit_id,campaign_referrer,name,ssn,birthday,gender,city,zip_code
23,80942048,77800750,1507386386,300000,Refinance existing loans,ACCEPTED,14.0,,,Γαληνός Μυλωνάς,652-58-4966,1994-10-23,M,Άρτα,44282
24,77292893,48006280,1507707030,120000,Home purchase,REJECTED,6.7,,,Χριστιάν Δανελής,168-38-2265,1996-09-17,M,Λιβαδιά,50647
25,90947483,76095288,1507336708,100000,Buying a pet,ACCEPTED,14.0,,,Θεοδόσιος Μακρής,191-84-9481,1982-04-19,M,Πρέβεζα,54828
26,82487498,42939277,1507646127,280000,Refinance existing loans,REJECTED,14.0,74112627,,Αγνή Καρβέλη,315-02-7841,1973-11-08,M,Δράμα,ΤΚ 189 81
27,32969987,19918588,1509313739,240000,Home purchase,ACCEPTED,7.0,,,Σωκράτης Ζυγούρης,811-37-7889,1991-01-19,M,Δράμα,191 39
28,65096817,8807233,1508572092,40000,Buying a pet,REJECTED,14.0,,,Βιολέτα-Μελένια Μαγούλα,120-50-7038,1986-01-04,M,Κόρινθος,20782
29,70821040,98740097,1508098766,90000,Refinance existing loans,ACCEPTED,8.7,,,Βαλέρια Ευαγγελίδη,355-93-7808,1980-11-02,F,Αγ. Νικόλαος,396 76
30,61375493,56060736,1507349746,210000,Refinance existing loans,ACCEPTED,14.0,,,Ιουλιανός Βαβουλίδης,185-97-9536,1981-06-18,F,Ρέθυμνο,ΤΚ 986 58
31,53527401,84560258,1508906424,80000,Refinance existing loans,ACCEPTED,14.0,,,Αυγουστίνα Κίτσου,805-19-8682,1975-06-13,F,Θεσσαλονίκη,05988
32,84660225,62091531,1507719554,20000,home purchase,ACCEPTED,6.7,36329904,"display3_Google,display3_Facebook,display3_Twitter,display3_Google,display1_Facebook,",Αγγελική Γεωργουλάκη,384-08-9336,1991-06-29,M,Μεσολόγγι,ΤΚ 486 37
33,40201591,20498838,1509238079,250000,Buying a pet,REJECTED,7.0,,,Μελπομένη Σαμπάνη,753-56-8247,1992-09-03,F,Κιλκίς,ΤΚ 22444
34,69699967,88035046,1507219115,270000,Refinance existing loans,REJECTED,14.0,69707929,"display2_Google,",Βενετία Τσανάκα,770-26-6952,1972-03-17,M,Καλαμάτα,28423
35,86567486,14703988,1508663762,230000,Home purchase,REJECTED,14.0,,,Νέαρχος Λιούτας,949-73-4757,1983-11-18,F,Πύργος,ΤΚ 375 63
36,44373244,22299143,1508048169,210000,Buying a pet,ACCEPTED,7.0,,,Ρουμπίνη Ταφραλή,808-21-3940,1972-12-30,F,Θεσσαλονίκη,ΤΚ 039 68
37,61946047,7506535,1507749936,250000,Buying a pet,ACCEPTED,14.0,91841637,,Κορνηλία Γρίβα,600-09-0082,1992-08-04,M,Ρέθυμνο,818 59
38,95591260,2689294,1508642477,240000,Refinance existing loans,REJECTED,14.0,,,Ελισάβετ Νταγκαλή,119-11-5791,1994-11-07,F,Σάμος,ΤΚ 201 32
39,4993325,71032096,1507767858,270000,buying a pet,REJECTED,7.0,,,Προκόπιος-Πλάτων Τζανουδάκης,013-08-6813,1972-01-05,F,Θεσσαλονίκη,32517
40,64498676,9740429,1509358609,150000,Home purchase,ACCEPTED,14.0,,,Γεωργία Κορωνίδου,973-12-9543,1985-04-04,M,Σάμος,770 16
41,58964299,39090582,1507348008,190000,Refinance existing loans,ACCEPTED,8.7,13952841,"display3_Google,display3_Twitter,",Βαλεντίνα-Μαλαματένια Σιδηροπούλου,867-63-1864,1978-08-27,F,Κιλκίς,ΤΚ 478 37
42,14392159,59044970,1506978958,260000,Refinance existing loans,ACCEPTED,14.0,,,Ίων Σμπρίνης,092-53-5330,1991-06-14,M,Τρίπολη,457 03
43,24429023,82084585,1507303894,30000,Home purchase,ACCEPTED,8.7,88106642,,Ανατολή-Κλημεντίνη Τζάγκα,270-54-1478,1991-11-13,M,Μεσολόγγι,65353
44,2292960,47368074,1506933299,290000,Buying a pet,ACCEPTED,8.7,89663670,"display2_Twitter,display2_Facebook,display2_Facebook,display3_Twitter,display1_Facebook,",Βαλεντίνα Διαμαντοπούλου,275-52-1652,1986-04-30,M,Φλώρινα,ΤΚ 56816
45,15883368,92660315,1507177384,30000,Refinance existing loans,ACCEPTED,14.0,,,Πολυξένη Φωτιάδου,851-09-4037,1978-08-22,F,Κιλκίς,69162
46,21085210,10480288,1508848268,270000,Home purchase,ACCEPTED,14.0,,,Μαριγώ Στρατογιάννη,934-78-5940,1982-02-21,M,Κέρκυρα,48832
47,8852031,64752228,1508092731,210000,Buying a pet,REJECTED,6.7,53462535,"display2_Google,display1_Twitter,display1_Twitter,display1_Twitter,display1_Facebook,",Φιλιώ Κυρούδη,180-64-5149,1982-04-26,M,Καβάλα,77167
48,27503413,87940092,1508879517,100000,Home purchase,ACCEPTED,14.0,,,Πούλια Κονιάρη,676-72-1415,1990-01-12,F,Μεσολόγγι,ΤΚ 391 43
49,65176054,94840715,1508226483,290000,Buying a pet,ACCEPTED,14.0,,,Βησσαρία Βαφειάδου,475-79-1893,1983-04-22,M,Μυτιλήνη,ΤΚ 33693
50,58280618,83621513,1508901318,270000,Home purchase,ACCEPTED,14.0,94792045,"display1_Twitter,",Παράσχος-Σπυρίδων Ζορμπάς,863-39-5093,1970-12-12,F,Ηράκλειο,ΤΚ 21371
51,84733525,51740457,1507021057,170000,Home purchase,ACCEPTED,8.7,28821926,,Ελένη Μάρα,848-51-6601,1989-06-24,M,Τρίκαλα,ΤΚ 347 90
52,87094423,73677005,1508309979,290000,Buying a pet,ACCEPTED,7.0,,,Ανθούλα Πισκοπάνη,527-21-8641,1981-12-04,F,Μεσολόγγι,130 02
53,41101584,36255672,1507024845,30000,home purchase,ACCEPTED,14.0,,,Πραξιτέλης Κυρίτσης,124-11-5168,1985-01-31,M,Ζάκυνθος,08792
54,93026145,14170950,1509272193,100000,Home purchase,REJECTED,14.0,,,Ευλαμπία Καράμπη,336-75-5069,1992-10-04,M,Λαμία,ΤΚ 378 87
55,14822696,119897,1507098828,170000,Refinance existing loans,ACCEPTED,6.7,68350579,"display2_Twitter,display2_Twitter,display1_Twitter,",Θεοπίστη Σαμπάνη,807-14-1528,1972-03-31,M,Σέρρες,60024
56,90148613,27628323,1507120160,100000,Refinance existing loans,REJECTED,6.7,,,Ήλια Μπαλαμπάνη,547-74-8268,1995-10-09,M,Ρόδος,61623
57,75643282,74384224,1507627716,300000,Refinance existing loans,REJECTED,6.7,,,Αφροδίτη Χωρινού,070-73-8551,1989-01-10,F,Κόρινθος,ΤΚ 427 66
58,50655737,21092096,1508383213,190000,Home purchase,REJECTED,7.0,,,Αγάπη Δανδανίδου,789-47-5944,1971-10-28,F,Καστοριά,82361
59,62936699,92438520,1507247059,180000,Buying a pet,REJECTED,6.7,,,Θεμιστόκλεια Τσέτου,960-54-1147,1996-06-18,F,Άμφισσα,ΤΚ 689 18
60,66946031,92438520,1508755363,90000,Buying a pet,REJECTED,8.7,,,Θεμιστόκλεια Τσέτου,960-54-1147,1996-06-18,F,Άμφισσα,ΤΚ 689 18
61,36718472,65803361,1507488646,250000,Buying a pet,REJECTED,8.7,,,Σαββούλα Δαμήλου,741-28-2125,1990-09-24,M,Πρέβεζα,608 87
62,93560247,20294760,1508384913,270000,Refinance existing loans,ACCEPTED,14.0,,,Χρυσοβαλάντιος Μπαλταγιάννης,777-19-5042,1976-09-30,F,Αγ. Νικόλαος,ΤΚ 17912
63,55715923,28244217,1509033743,100000,Home purchase,REJECTED,6.7,,,Θεοδότη Καλογιάννη,905-37-4162,1972-04-07,F,Τρίπολη,ΤΚ 83362
64,88490563,79060187,1508999947,220000,buying a pet,REJECTED,6.7,86926078,"display2_Twitter,",Λουδοβίκος Καψάλης,603-33-6393,1988-09-05,F,Άμφισσα,04326
65,775964,79060187,1506927148,40000,Home purchase,REJECTED,14.0,97358485,"display1_Twitter,display2_Twitter,",Λουδοβίκος Καψάλης,603-33-6393,1988-09-05,F,Άμφισσα,04326
66,40283474,32165240,1507697469,170000,Buying a pet,REJECTED,8.7,,,Σπυριδούλα-Χαρίκλεια Αθανασιάδη,668-55-2814,1981-01-24,F,Σέρρες,644 27
67,67451397,11206948,1507529163,150000,buying a pet,REJECTED,14.0,,,Ευσταθία Μηνά,096-35-5418,1985-01-15,F,Ιωάννινα,316 80
68,37271872,36814672,1507799589,220000,Refinance existing loans,ACCEPTED,14.0,,,Ηλίας Νασιόπουλος,701-57-1387,1995-11-01,M,Ρόδος,ΤΚ 242 89
69,33287516,38344371,1508154280,100000,Home purchase,ACCEPTED,6.7,,,Βησσαρία Δήμου,016-53-3768,1981-12-28,F,Πάτρα,143 58
70,85706996,67916545,1508295163,260000,home purchase,ACCEPTED,14.0,,,Χριστιάν Πανούσης,519-18-4196,1996-04-07,F,Καρπενήσι,570 25
71,75686882,91826275,1508295833,270000,Buying a pet,REJECTED,6.7,,,Μαριγώ-Βρυσηίς Καλαϊτζοπούλου,454-51-4776,1970-01-11,F,Λευκάδα,62189
72,11070953,20940584,1509126723,250000,Buying a pet,ACCEPTED,6.7,93427165,"display1_Facebook,display1_Google,display3_Facebook,display2_Facebook,",Μεθόδιος Καζανόπουλος,300-99-1451,1986-09-11,M,Μεσολόγγι,730 75
73,62013427,72704026,1507955584,70000,Buying a pet,ACCEPTED,6.7,,,Ιερεμίας-Παναγιώτης Κορδατζής,818-52-5421,1971-04-11,F,Τρίπολη,07250
74,51242726,98265518,1508685741,90000,Buying a pet,REJECTED,6.7,,,Ιωακείμ Αντωνιάδης,218-93-2286,1978-10-16,M,Θεσσαλονίκη,ΤΚ 056 73
75,10938463,34192337,1509227826,50000,Buying a pet,ACCEPTED,6.7,,,Σώζων-Σταμάτιος Καρακυρίου,378-70-0619,1994-08-18,F,Βόλος,817 71
76,59981198,20143328,1507854339,80000,Refinance existing loans,ACCEPTED,14.0,68955779,"display3_Facebook,display3_Twitter,display1_Google,",Θαλής Χατζηβλασίου,956-89-5187,1985-09-25,F,Κοζάνη,ΤΚ 53704
77,64383006,4906718,1507660655,200000,Buying a pet,REJECTED,8.7,,,Θεόδωρος Μπαλταγιάννης,623-29-3528,1978-11-26,F,Κιλκίς,039 33
78,91555544,12928733,1508949199,170000,Buying a pet,REJECTED,6.7,46286679,"display3_Facebook,display3_Facebook,display1_Twitter,",Νεφέλη Γκαλίου,782-17-0438,1970-11-02,M,Μυτιλήνη,44773
79,27119577,41650158,1509034492,60000,Buying a pet,REJECTED,7.0,,,Μαριάννα Παλαιολογοπούλου,108-76-6249,1971-06-29,F,Φλώρινα,367 88
80,15149667,2153732,1506964634,300000,Refinance existing loans,ACCEPTED,8.7,,,Παρθένα Τάτση,344-75-9806,1980-06-08,F,Ξάνθη,362 20
81,41340421,49655580,1508997312,290000,Refinance existing loans,ACCEPTED,14.0,,,Βέρα Μητσοπούλου,742-87-9807,1972-04-10,F,Ζάκυνθος,72894
82,54393836,1267407,1508627556,70000,Refinance existing loans,ACCEPTED,14.0,,,Αικατερίνη Κοντογιάννη,113-16-5643,1994-09-17,M,Χανιά,ΤΚ 54823
83,1570990,11120426,1507581538,300000,Home purchase,REJECTED,7.0,,,Ζαμπέτα Πουλίδα,977-96-1906,1972-06-03,M,Καρδίτσα,ΤΚ 159 39
84,32535286,71753602,1509376340,150000,Home purchase,REJECTED,6.7,81708413,"display2_Facebook,display1_Facebook,display2_Google,display3_Facebook,display2_Twitter,",Αφροδίτη-Ναυσικά Χαραλαμπίδου,540-80-0591,1979-03-28,M,Καστοριά,ΤΚ 67120
85,64584817,73228968,1508207529,260000,Refinance existing loans,ACCEPTED,8.7,86041122,"display2_Facebook,display1_Facebook,display2_Google,display1_Facebook,display2_Twitter,",Λασκαρίνα Πουλή,527-22-4865,1991-08-30,F,Δράμα,62547
86,71421755,99217814,1509288537,150000,Home purchase,REJECTED,14.0,78065381,"display3_Facebook,",Σωτήρης Λουλάκης,903-05-6629,1985-08-10,M,Πολύγυρος,33853
87,81209097,25791065,1507133289,170000,home purchase,REJECTED,7.0,,,Λητώ Παπανικολάου,772-49-7477,1972-12-11,F,Έδεσσα,19059
88,52330356,37430511,1509183019,280000,buying a pet,ACCEPTED,6.7,,,Λεμονής-Νεκτάριος Γιασημάκης,862-04-5585,1992-09-04,M,Καβάλα,86655
89,48655013,36163925,1508250499,250000,Buying a pet,ACCEPTED,7.0,,,Κλεάνθης Ντόβας,474-05-0921,1984-06-23,F,Τρίπολη,585 54
90,21083999,86757731,1509088946,230000,Home purchase,REJECTED,8.7,,,Φανή Κετεσίδου,399-80-2528,1978-11-08,F,Πολύγυρος,51944
91,91781313,21885154,1508051002,30000,Buying a pet,ACCEPTED,6.7,,,Θεόπιστος Κωστίδης,953-44-1133,1982-12-20,F,Αλεξανδρούπολη,ΤΚ 28922
92,35493517,69200111,1507374346,190000,Buying a pet,ACCEPTED,7.0,,,Θεόφραστος Καλαμπαλίκης,011-58-5026,1994-12-12,M,Κιλκίς,48147
93,26644307,22614312,1507193567,40000,Buying a pet,ACCEPTED,7.0,,,Αριστοτέλης Τσομώκος,540-91-3552,1985-12-11,M,Πρέβεζα,37640
94,29876189,88745843,1508216462,150000,buying a pet,REJECTED,7.0,,,Παναγής Αρχαυλής,795-46-7353,1980-08-04,F,Γρεβενά,294 15
95,41303075,41215957,1507412522,50000,buying a pet,ACCEPTED,6.7,,,Νεόφυτος Τσιγαρίδας,287-62-7400,1991-02-01,M,Καρδίτσα,02057
96,64760392,51453919,1508559959,280000,Buying a pet,ACCEPTED,6.7,,,Πουλχερία Ανανιάδου,946-51-8824,1977-10-14,M,Καστοριά,33137
97,95726669,47248599,1509372125,280000,Refinance existing loans,ACCEPTED,8.7,,,Ειρήνη-Ροδιά Αλεξοπούλου,793-52-2526,1982-12-12,F,Μεσολόγγι,60814
98,74922937,5863725,1509028308,230000,Refinance existing loans,ACCEPTED,7.0,,,Νταίζη Γκούνη,635-93-3620,1984-01-02,M,Αθήνα,ΤΚ 14399
99,95836622,48747986,1509372855,270000,Refinance existing loans,REJECTED,8.7,,,Ελισάβετ Κωστοπούλου,559-86-7347,1970-11-21,M,Ερμούπολη,380 47
100,52656235,17575341,1507740533,70000,Refinance existing loans,REJECTED,7.0,,,Γιώργος Λιβανός,583-77-5067,1986-02-24,M,Μεσολόγγι,ΤΚ 37085
101,99362623,5189086,1509402117,200000,Home purchase,ACCEPTED,8.7,,,Λύσανδρος Μπούκος,152-56-2689,1986-06-02,F,Χαλκίδα,31506
102,70927889,40001665,1509192523,210000,Refinance existing loans,REJECTED,7.0,,,Πολυχρόνιος Σαουλίδης,512-51-5075,1970-03-26,F,Κοζάνη,ΤΚ 320 81
103,61662257,84227340,1506882740,250000,Refinance existing loans,ACCEPTED,6.7,,,Θεολογία Οικονόμου,657-55-1053,1984-06-12,M,Χανιά,57624
104,23985513,33548339,1508983599,200000,Refinance existing loans,REJECTED,6.7,,,Βησσαρία Τσανάκα,561-38-4056,1974-11-15,F,Σάμος,713 58
105,20918161,32916206,1508840854,60000,buying a pet,REJECTED,8.7,44793974,"display1_Twitter,display3_Twitter,display3_Facebook,",Μιλτιάδης-Αρχέλαος Φραντζής,588-83-8404,1971-08-05,F,Αγ. Νικόλαος,ΤΚ 883 41
106,14722067,35211297,1509225203,120000,home purchase,REJECTED,8.7,,,Στέλλα-Μαρωτέσα Φρονιμάκη,274-56-0344,1977-04-30,M,Ρόδος,ΤΚ 97583
107,23689872,71062968,1508859466,190000,Refinance existing loans,ACCEPTED,8.7,65983710,"display1_Facebook,display3_Google,display3_Google,",Αγάπιος Ζορμπάς,856-13-9696,1995-01-05,F,Βόλος,90545
108,22096493,1934735,1508392645,220000,Buying a pet,ACCEPTED,8.7,,,Παύλος Τσουκνίδας,491-73-4832,1977-03-10,F,Φλώρινα,971 34
109,43112603,6330676,1506961999,50000,Buying a pet,ACCEPTED,7.0,,,Φωτεινός Καρυπίδης,678-84-8965,1990-12-19,F,Κατερίνη,47411
110,60519822,74774847,1508995918,90000,Refinance existing loans,ACCEPTED,8.7,,,Πολυκράτης Θεοδοσίου,706-84-6150,1973-12-08,F,Χίος,33359
111,13271382,49908795,1508946626,250000,Refinance existing loans,REJECTED,7.0,,,Θουκυδίδης Κιουπλιώτης,780-28-4289,1970-08-07,M,Σπάρτη,ΤΚ 105 27
112,76543776,51712126,1508290107,300000,home purchase,REJECTED,6.7,,,Βασίλειος Νταβάς,170-59-1233,1976-07-02,F,Καλαμάτα,ΤΚ 982 52
113,84427732,71265861,1507421424,210000,Buying a pet,REJECTED,8.7,,,Τατιάνα Δρακάκη,523-01-2357,1995-07-26,F,Λιβαδιά,508 67
114,82475790,96156919,1508452349,150000,Refinance existing loans,ACCEPTED,6.7,20094606,,Ανέστης Πολυχρόνης,339-95-0510,1973-04-13,F,Ξάνθη,ΤΚ 65479
115,49835041,50792318,1507778188,50000,Refinance existing loans,ACCEPTED,14.0,,,Λουλουδένια-Θωμαίς Καφαντάρη,323-31-4609,1980-10-30,M,Ρόδος,ΤΚ 851 01
116,16570231,65409249,1508425650,250000,Refinance existing loans,REJECTED,7.0,12614998,"display1_Facebook,",Τίτος Δημοβελής,883-71-1497,1972-12-28,F,Ναύπλιο,ΤΚ 682 09
117,75749583,40530206,1509187417,90000,Buying a pet,REJECTED,14.0,,,Θεοδόσης-Ευσέβιος Ισάρης,250-00-8203,1981-05-22,M,Καστοριά,88285
118,82816143,73791506,1508547212,90000,home purchase,ACCEPTED,6.7,,,Κάρολος Μυσιρλής,525-57-2329,1975-07-30,F,Κόρινθος,588 90
119,73003233,60207856,1507299949,30000,Home purchase,REJECTED,8.7,34494296,"display1_Google,display2_Google,display2_Twitter,display2_Google,",Λεμονής Νιτσοτόλης,876-07-4229,1977-05-28,F,Λιβαδιά,14529
120,50234120,83669149,1507728844,200000,Refinance existing loans,ACCEPTED,6.7,,,Βρασίδας-Περικλής Χαχούδης,187-22-7823,1979-04-23,M,Πολύγυρος,15333
121,96485888,52706124,1509352527,290000,buying a pet,REJECTED,8.7,38153546,"display2_Google,display2_Twitter,",Θάλεια Χουρζαμάνη,426-19-2992,1978-10-24,M,Αργοστόλι,704 54
122,62907880,63586460,1507351192,120000,Buying a pet,REJECTED,8.7,,,Ευστράτιος Μιχαλέλλης,529-09-6900,1973-05-10,M,Άμφισσα,21930
123,71840708,31953873,1506999346,210000,Refinance existing loans,REJECTED,7.0,,,Ρεβέκκα Μιχαηλίδου,805-76-3479,1976-09-21,M,Άμφισσα,49790
124,21055103,80903083,1508260530,210000,Refinance existing loans,REJECTED,8.7,,,Αρχιμήδης Κακαβός,178-32-9681,1976-01-07,M,Ζάκυνθος,ΤΚ 05486
125,10439706,14117096,1508322781,100000,Refinance existing loans,ACCEPTED,6.7,,,Άρτεμις Αρσενάκη,005-46-0210,1976-12-01,F,Κατερίνη,ΤΚ 27516
126,94926016,63357978,1509287781,50000,Buying a pet,ACCEPTED,6.7,,,Πολύβια Κόλλια,048-37-1111,1981-10-08,M,Τρίπολη,ΤΚ 12697
127,15789249,75698405,1508940942,20000,Refinance existing loans,REJECTED,8.7,63313931,"display3_Facebook,display3_Facebook,display2_Twitter,",Ρεγγίνα Μπιμπίκα,446-65-2146,1994-07-29,M,Χαλκίδα,03625
128,32090561,51245633,1507669179,280000,Refinance existing loans,ACCEPTED,8.7,85387475,,Κυριακή-Αθηνοδώρα Ντριβαλά,966-13-5884,1984-12-20,F,Φλώρινα,57706
129,28084339,63895435,1508702384,20000,buying a pet,ACCEPTED,14.0,,,Ιάκωβος Μπλανάς,325-83-7675,1991-05-21,F,Καστοριά,84173
130,78029094,24738489,1509212741,80000,Buying a pet,ACCEPTED,14.0,,,Δίκαιος Σμπρίνης,823-13-2753,1990-01-01,F,Λευκάδα,ΤΚ 25223
131,92201521,28469419,1509163073,270000,Refinance existing loans,REJECTED,6.7,,,Χριστόφιλη Σταύρου,009-59-4659,1988-07-19,M,Πρέβεζα,17767
132,64910096,17930003,1506950456,180000,Buying a pet,ACCEPTED,7.0,27714854,"display2_Google,",Φερενίκη Μπαλτατζή,575-02-5357,1990-04-25,F,Θεσσαλονίκη,ΤΚ 090 25
133,79886069,54283487,1508059390,20000,Buying a pet,REJECTED,8.7,70424406,"display2_Google,",Ταξιάρχης Λάτσκος,561-15-7593,1973-09-16,F,Άμφισσα,ΤΚ 89299
134,99598770,6623864,1507203541,290000,Home purchase,ACCEPTED,8.7,77709985,"display3_Facebook,display2_Twitter,",Τρισεύγενη Γκάγκα,631-35-0098,1981-10-06,F,Άμφισσα,14240
135,20521224,80075816,1507987196,60000,Refinance existing loans,ACCEPTED,14.0,,,Νίκη Τσιομπάνη,978-25-0290,1972-11-21,F,Έδεσσα,13080
136,62138760,31487512,1507831668,30000,Refinance existing loans,REJECTED,8.7,,,Τρισεύγενη Γραμμένου,160-31-5364,1977-09-28,F,Ναύπλιο,025 03
137,45757281,82815094,1507112760,280000,Buying a pet,REJECTED,8.7,,,Ευφροσύνη Λεντζίου,845-22-9006,1974-01-19,F,Καρδίτσα,49620
138,13473800,82826946,1508491984,150000,home purchase,ACCEPTED,14.0,,,Αμφιτρίτη Πολίτου,415-73-5214,1973-12-08,F,Βόλος,ΤΚ 91762
139,24620498,64873236,1507724986,50000,Refinance existing loans,ACCEPTED,8.7,,,Ιωάννης-Γκίκας Κυριαζής,146-19-5298,1982-10-03,M,Ηράκλειο,ΤΚ 283 23
140,15783799,51429873,1507557921,40000,Refinance existing loans,REJECTED,8.7,,,Μηνάς Λώλος,701-72-6644,1974-04-17,F,Καλαμάτα,95189
141,65771200,2706877,1508523788,300000,Home purchase,REJECTED,7.0,,,Ηράκλεια Δανδανίδου,944-85-6829,1988-03-16,F,Σπάρτη,92096
142,63926313,39839982,1508470362,220000,Buying a pet,REJECTED,14.0,,,Λουίζα Πάντζιου,379-95-9548,1977-06-02,M,Φλώρινα,ΤΚ 37497
143,61160889,73897556,1507918228,200000,Refinance existing loans,ACCEPTED,8.7,3648752,"display3_Facebook,display2_Google,display1_Twitter,",Εφραίμ Μωραΐτης,699-02-2023,1972-03-30,F,Μυτιλήνη,410 32
144,19694120,85300985,1508827055,170000,home purchase,ACCEPTED,7.0,,,Πολύμνια Μάρα,673-41-9154,1974-07-06,M,Ζάκυνθος,120 81
145,48661865,21627387,1507719664,260000,Refinance existing loans,ACCEPTED,6.7,53577213,,Θεοδότη Γρηγοριάδου,621-05-1587,1994-10-10,M,Αλεξανδρούπολη,458 34
146,67109589,79527279,1509196763,170000,Refinance existing loans,ACCEPTED,14.0,2970548,"display1_Facebook,display3_Facebook,display1_Google,",Χαράλαμπος Μποτώνης,219-03-0473,1979-10-06,M,Έδεσσα,ΤΚ 207 98
147,96269942,96948305,1508847942,20000,Refinance existing loans,REJECTED,8.7,,,Βελισσαρία Λιούκα,121-25-4085,1986-01-01,M,Κόρινθος,500 26
148,56787235,76998292,1509075732,270000,Buying a pet,REJECTED,14.0,,,Μόσχα Νικολουδάκη,214-80-4666,1970-02-11,F,Αλεξανδρούπολη,ΤΚ 829 82
149,73314958,39604863,1509249031,30000,Home purchase,REJECTED,8.7,,,Αδαμαντία-Χάιδω Λουμπούτσκου,477-05-5104,1995-06-25,M,Καρδίτσα,33087
