loan_id,user_id,loan_timestamp,loan_amount,loan_purpose,outcome,interest,visit_id,zip_code,name,birthday,city,ssn,gender,cid,campaign_referrer
89202124,13681683,1519467188,60000,Buying a pet,REJECTED,14,70789008,109 66,Πολυνίκη Καράμπη,1989-01-31,Άρτα,117-29-3768,M,13681683,"display3,Twitter - display3,Twitter - display3,Facebook"
84629824,79840279,1535772410,190000,Home purchase,ACCEPTED,7,,605 54,Κώστας Κουρής,1986-08-15,Άρτα,280-34-1220,M,79840279,
32335266,3066648,1537751182,180000,Buying a pet,REJECTED,6.7,,ΤΚ 62897,Αίας Κουλουριώτης,1972-04-15,Άρτα,138-68-1262,F,3066648,
78856413,3066648,1546324139,240000,buying a pet,ACCEPTED,8.7,,ΤΚ 62897,Αίας Κουλουριώτης,1972-04-15,Άρτα,138-68-1262,F,3066648,
92413214,51186973,1516333908,40000,Home purchase,REJECTED,6.7,,73457,Θέμις Τζιωρτζή,1973-05-11,Άρτα,363-91-6590,M,51186973,
89136486,16791581,1515560651,80000,home purchase,ACCEPTED,7,4983298,14005,Αιμιλιανός Τσόλκας,1986-04-21,Άρτα,087-78-8524,M,16791581,"display3,Google - display2,Twitter - display3,Facebook"
62248787,16791581,1554796069,260000,Refinance existing loans,ACCEPTED,6.7,,14005,Αιμιλιανός Τσόλκας,1986-04-21,Άρτα,087-78-8524,M,16791581,
89760397,85934621,1512915151,40000,Refinance existing loans,ACCEPTED,7,61161977,07317,Δωρόθεος-Σέργιος Χαρπαντίδης,1995-12-23,Άρτα,912-30-0532,F,85934621,"display1,Google - display1,Twitter - display3,Twitter - display1,Facebook"
6926195,21004829,1569504641,240000,Refinance existing loans,REJECTED,6.7,,ΤΚ 093 95,Θεόφραστος Κολχούρης,1970-01-31,Άρτα,038-08-0766,M,21004829,
15026196,21004829,1509962334,210000,Refinance existing loans,ACCEPTED,8.7,23399038,ΤΚ 093 95,Θεόφραστος Κολχούρης,1970-01-31,Άρτα,038-08-0766,M,21004829,"display1,Google - display3,Google - display3,Twitter - display2,Facebook - display3,Facebook"
54133659,54717473,1536968368,120000,Buying a pet,REJECTED,6.7,,ΤΚ 344 24,Βαλέριος Πολυχρονόπουλος,1993-12-14,Άρτα,630-01-7025,F,54717473,
70664236,64217378,1509502555,70000,Home purchase,REJECTED,7,,799 66,Κάρολος Κομπολιάς,1978-07-28,Άρτα,552-76-9140,F,64217378,
37047422,89702691,1545148799,300000,Refinance existing loans,REJECTED,14,29160297,19944,Φλωρίνα Μασαούτη,1989-04-19,Άρτα,341-75-6607,M,89702691,"display3,Google - display1,Facebook - display3,Facebook"
2919091,83156516,1510699841,200000,home purchase,ACCEPTED,14,,964 44,Φανούριος Πανούσης,1994-07-13,Άρτα,857-90-2214,F,83156516,
61925940,31071269,1522438947,200000,buying a pet,REJECTED,7,94375965,25428,Απολλωνία Ρόγγα,1975-06-27,Άρτα,728-81-6103,F,31071269,"display1,Twitter - display1,Twitter - display3,Facebook"
61535601,29237032,1522423775,270000,Refinance existing loans,REJECTED,8.7,,236 40,Οδύσσεια Καραογλάνη,1977-08-26,Άρτα,517-04-6314,F,29237032,
55808603,29237032,1550860408,190000,home purchase,REJECTED,8.7,91732562,236 40,Οδύσσεια Καραογλάνη,1977-08-26,Άρτα,517-04-6314,F,29237032,"display3,Google - display3,Google - display2,Twitter - display1,Facebook - display2,Facebook"
29895444,56848936,1540835501,180000,buying a pet,ACCEPTED,8.7,,ΤΚ 376 95,Κώστας Ζορμπάς,1973-10-20,Άρτα,569-80-4193,M,56848936,
62048508,74723881,1559817944,40000,Home purchase,ACCEPTED,8.7,,92142,Σοφοκλής Γκιολδελής,1981-08-30,Άρτα,919-29-7757,F,74723881,
69129627,68349483,1527846683,260000,buying a pet,REJECTED,6.7,,94395,Κλαίρη-Χλόη Γκόβα,1991-07-17,Άρτα,122-43-6305,F,68349483,
93771605,82306861,1550662463,80000,Refinance existing loans,ACCEPTED,7,,07635,Κασσιανή Πλατάκη,1972-03-11,Άρτα,746-70-4469,F,82306861,
45716593,77800750,1548576773,80000,Refinance existing loans,REJECTED,7,,44282,Γαληνός Μυλωνάς,1994-10-23,Άρτα,652-58-4966,M,77800750,
80942048,77800750,1507386386,300000,Refinance existing loans,ACCEPTED,14,,44282,Γαληνός Μυλωνάς,1994-10-23,Άρτα,652-58-4966,M,77800750,
70766977,44314414,1529669750,30000,Buying a pet,REJECTED,6.7,,ΤΚ 45048,Σταμάτης Σταμούλης,1972-05-29,Άρτα,937-58-5264,F,44314414,
96267238,44314414,1527007509,210000,Buying a pet,ACCEPTED,6.7,,ΤΚ 45048,Σταμάτης Σταμούλης,1972-05-29,Άρτα,937-58-5264,F,44314414,
96794318,71122478,1559258359,230000,Home purchase,REJECTED,14,,ΤΚ 97237,Βενιαμίν Πολυχρονόπουλος,1986-09-10,Άρτα,876-79-8538,F,71122478,
13066204,22764849,1566935405,220000,buying a pet,REJECTED,8.7,,48125,Δημήτρης Μανουσέλης,1972-05-28,Άρτα,182-84-7954,M,22764849,
24036692,11563057,1524104483,170000,Home purchase,ACCEPTED,7,,88175,Αλκμήνη Πισκοπάνη,1978-02-18,Άρτα,221-84-6936,F,11563057,
95057727,18925362,1553508365,260000,Home purchase,REJECTED,8.7,,ΤΚ 182 59,Πολυνίκη Κουλαουσάρη,1974-01-30,Άρτα,102-04-4898,M,18925362,
25068864,18925362,1542479006,80000,Home purchase,ACCEPTED,6.7,,ΤΚ 182 59,Πολυνίκη Κουλαουσάρη,1974-01-30,Άρτα,102-04-4898,M,18925362,
96748306,82775859,1540303417,190000,Refinance existing loans,REJECTED,7,9082007,ΤΚ 267 55,Παρέσσα Μπατζάνη,1975-05-07,Άρτα,998-25-4513,M,82775859,"display2,Google - display3,Google - display1,Facebook - display3,Facebook"
75291887,82775859,1555606736,240000,Refinance existing loans,ACCEPTED,6.7,,ΤΚ 267 55,Παρέσσα Μπατζάνη,1975-05-07,Άρτα,998-25-4513,M,82775859,
65522790,93092147,1566197145,40000,buying a pet,ACCEPTED,7,,ΤΚ 68621,Ασημάκης Γκούβελος,1972-01-17,Άρτα,200-70-0067,F,93092147,
70270410,89654324,1536938527,80000,Buying a pet,ACCEPTED,14,,32978,Κασσιανή Φιδάνη,1981-09-19,Άρτα,460-04-7161,M,89654324,
65681259,86074421,1523010303,180000,Home purchase,ACCEPTED,7,,81672,Κυράτσα Παναγιώτου,1989-06-28,Άρτα,712-65-2197,F,86074421,
72293912,86074421,1537724332,230000,Buying a pet,ACCEPTED,7,72164059,81672,Κυράτσα Παναγιώτου,1989-06-28,Άρτα,712-65-2197,F,86074421,"display2,Twitter - display2,Facebook"
16468960,15469110,1527040885,250000,home purchase,ACCEPTED,7,,62495,Τρυφωνία Μαγκαφοπούλου,1989-10-21,Άρτα,552-63-8694,F,15469110,
34552372,46727737,1545223862,290000,Home purchase,REJECTED,7,,39109,Ελέσσα Λυρή,1974-08-12,Άρτα,139-85-9525,M,46727737,
69576325,14541881,1566573412,170000,Refinance existing loans,ACCEPTED,14,,54075,Συμεωνία Παπασπηλιωτοπούλου,1986-11-06,Άρτα,152-51-0564,F,14541881,
211052,14541881,1538478570,150000,Home purchase,ACCEPTED,8.7,,54075,Συμεωνία Παπασπηλιωτοπούλου,1986-11-06,Άρτα,152-51-0564,F,14541881,
98683239,88411453,1529720141,180000,Refinance existing loans,ACCEPTED,7,,27859,Λογοθέτης Πασσαλίδης,1975-08-25,Άρτα,925-83-0657,F,88411453,
30635333,28399680,1521369457,240000,Refinance existing loans,ACCEPTED,6.7,,87421,Εριέτα Εμμανουηλίδου,1994-10-10,Άρτα,178-28-1961,M,28399680,
3235598,88472640,1563775604,70000,buying a pet,REJECTED,8.7,,ΤΚ 290 99,Μαργαρίτα Μανιτάρου,1981-12-16,Άρτα,090-36-0533,M,88472640,
99161272,53852483,1514448017,100000,Home purchase,ACCEPTED,7,,15420,Ασκληπιός Μπουλούκος,1996-02-20,Άρτα,517-85-8277,M,53852483,
15431017,53852483,1525891376,120000,Refinance existing loans,REJECTED,8.7,15873394,15420,Ασκληπιός Μπουλούκος,1996-02-20,Άρτα,517-85-8277,M,53852483,"display3,Twitter"
77544754,29354819,1539509811,280000,Home purchase,REJECTED,6.7,24734870,52156,Παυλίνα Τσανάκα,1973-10-24,Άρτα,129-20-1402,F,29354819,"display1,Google - display1,Facebook - display1,Facebook"
44756679,7149124,1507983165,180000,Home purchase,REJECTED,7,,78282,Θεοπίστη Παπαευαγγέλου,1982-02-23,Άρτα,806-20-5059,F,7149124,
15415452,26470471,1569565403,100000,Buying a pet,REJECTED,7,,ΤΚ 782 56,Αυγουστίνα Μανοπούλου,1972-08-10,Άρτα,359-81-7846,F,26470471,
82398523,26470471,1540878952,50000,Buying a pet,ACCEPTED,8.7,,ΤΚ 782 56,Αυγουστίνα Μανοπούλου,1972-08-10,Άρτα,359-81-7846,F,26470471,
88490282,28092234,1563283722,220000,home purchase,ACCEPTED,6.7,,ΤΚ 53652,Μιράντα Μπονέλη,1975-07-05,Άρτα,272-51-3497,M,28092234,
97309170,26783818,1547746642,80000,Home purchase,ACCEPTED,8.7,,ΤΚ 01770,Αχιλλέας Λαφατζής,1985-10-08,Άρτα,016-18-1235,M,26783818,
17035103,26783818,1527025073,90000,Buying a pet,ACCEPTED,8.7,,ΤΚ 01770,Αχιλλέας Λαφατζής,1985-10-08,Άρτα,016-18-1235,M,26783818,
82860576,29854027,1550285671,190000,Refinance existing loans,REJECTED,7,,92949,Μελέτιος Χαρπαντίδης,1971-10-29,Άρτα,792-69-5913,F,29854027,
63091538,8499020,1510190372,230000,Refinance existing loans,ACCEPTED,14,,50135,Μελένια Σκαφτούρου,1974-08-03,Άρτα,852-09-2040,M,8499020,
19990701,821326,1550856749,300000,Home purchase,REJECTED,7,7958909,094 78,Φρειδερίκη Καλογιάννη,1986-05-23,Άρτα,455-42-0760,M,821326,"display1,Facebook - display2,Facebook"
90750276,821326,1537042990,20000,Home purchase,ACCEPTED,8.7,,094 78,Φρειδερίκη Καλογιάννη,1986-05-23,Άρτα,455-42-0760,M,821326,
42871689,21567825,1528467651,250000,Refinance existing loans,REJECTED,8.7,,06346,Φανουρία Καραμπίνα,1983-05-17,Άρτα,424-29-2611,M,21567825,
26471023,33278801,1568116736,90000,Refinance existing loans,REJECTED,7,,08042,Πανταζής Μάνος,1975-07-22,Άρτα,673-90-5512,F,33278801,
38765870,47989332,1543926837,40000,buying a pet,REJECTED,14,,07564,Βλασία Δρακάκη,1988-01-30,Άρτα,260-23-4460,M,47989332,
17833184,67300180,1533649856,200000,home purchase,REJECTED,14,,ΤΚ 20437,Ραχήλ Λαμπρινός,1975-09-02,Άρτα,816-08-7726,F,67300180,
50727625,67300180,1508227011,80000,buying a pet,ACCEPTED,14,,ΤΚ 20437,Ραχήλ Λαμπρινός,1975-09-02,Άρτα,816-08-7726,F,67300180,
15560754,71509590,1564255515,190000,Refinance existing loans,REJECTED,8.7,,ΤΚ 703 81,Αβραάμ-Ευδόξιος Αρμένης,1989-09-01,Άρτα,580-91-1897,F,71509590,
91702639,12694614,1559744783,120000,Refinance existing loans,ACCEPTED,6.7,,909 63,Όμηρος Μανίκας,1976-04-09,Άρτα,591-89-1996,M,12694614,
20535808,12694614,1511788867,280000,buying a pet,ACCEPTED,14,39663977,909 63,Όμηρος Μανίκας,1976-04-09,Άρτα,591-89-1996,M,12694614,"display1,Google"
17597216,65979480,1534801058,20000,home purchase,REJECTED,6.7,20030694,18476,Διαμαντούλα Αγγελίδου,1979-01-13,Άρτα,275-85-0163,M,65979480,"display1,Google - display1,Twitter - display1,Twitter - display3,Twitter"
96483531,96064857,1516840312,270000,home purchase,ACCEPTED,6.7,,69392,Παντελία Ξηροτύρη,1976-03-17,Άρτα,285-01-6133,F,96064857,
43742445,85610331,1560070557,70000,Refinance existing loans,ACCEPTED,7,13841150,259 82,Παταπία Καζαντζή,1970-02-27,Άρτα,067-64-2263,M,85610331,"display3,Facebook"
52126074,40961116,1518503115,190000,Buying a pet,ACCEPTED,14,,42244,Πυθαγόρας Μπαντής,1991-07-31,Άρτα,439-26-8841,M,40961116,
98564437,40961116,1533781729,120000,Refinance existing loans,REJECTED,7,93663330,42244,Πυθαγόρας Μπαντής,1991-07-31,Άρτα,439-26-8841,M,40961116,"display1,Google - display2,Google - display3,Google - display3,Facebook"
47148692,69569885,1558012078,290000,Buying a pet,ACCEPTED,6.7,,90183,Χριστοφόρα-Χαρίκλεια Αβραμίδου,1978-05-26,Άρτα,809-89-7428,M,69569885,
68649494,43950944,1559893265,80000,Buying a pet,REJECTED,8.7,,12652,Παράσχος Βλάχος,1978-10-27,Άρτα,386-37-1150,M,43950944,
49907515,97567585,1544816326,190000,Refinance existing loans,ACCEPTED,6.7,54436264,ΤΚ 462 47,Ιγνάτιος Ακριώτης,1994-05-13,Άρτα,716-76-9754,M,97567585,"display1,Twitter - display1,Facebook - display2,Facebook"
52079126,97567585,1547086980,40000,buying a pet,ACCEPTED,14,,ΤΚ 462 47,Ιγνάτιος Ακριώτης,1994-05-13,Άρτα,716-76-9754,M,97567585,
58124450,51518054,1517334726,250000,Refinance existing loans,ACCEPTED,8.7,,981 88,Θεοδότη-Θωμαίς Παπανάνου,1973-01-25,Άρτα,569-74-4719,M,51518054,
98485984,51518054,1517339995,250000,Buying a pet,ACCEPTED,8.7,,981 88,Θεοδότη-Θωμαίς Παπανάνου,1973-01-25,Άρτα,569-74-4719,M,51518054,
22024687,9082214,1508191773,80000,Refinance existing loans,REJECTED,14,86874109,ΤΚ 53107,Λεονάρδος Θωμάς,1981-01-23,Άρτα,086-08-1037,F,9082214,"display3,Google - display1,Twitter - display1,Twitter - display1,Twitter"
1886548,9082214,1513208769,60000,Refinance existing loans,ACCEPTED,6.7,,ΤΚ 53107,Λεονάρδος Θωμάς,1981-01-23,Άρτα,086-08-1037,F,9082214,
87809349,92992104,1543744923,270000,Home purchase,ACCEPTED,8.7,49592903,290 47,Εφραίμ Ζευγίτης,1996-05-08,Άρτα,118-93-7066,M,92992104,"display1,Facebook - display2,Facebook - display2,Facebook - display3,Facebook"
95139111,38502509,1511757204,300000,Refinance existing loans,REJECTED,14,,13357,Σαράντης Πετρίδης,1973-02-21,Άρτα,892-07-7694,M,38502509,
81639328,38502509,1528583615,190000,Refinance existing loans,REJECTED,7,42632970,13357,Σαράντης Πετρίδης,1973-02-21,Άρτα,892-07-7694,M,38502509,"display2,Google - display2,Google - display1,Twitter - display1,Facebook"
53511460,79659373,1513374730,200000,buying a pet,ACCEPTED,8.7,,89979,Πανδώρα Μπαρκούτα,1985-03-01,Άρτα,172-16-8219,F,79659373,
23503935,79659373,1534737050,210000,Buying a pet,REJECTED,7,,89979,Πανδώρα Μπαρκούτα,1985-03-01,Άρτα,172-16-8219,F,79659373,
59443935,47801457,1514775102,300000,Refinance existing loans,REJECTED,14,95013036,34830,Κορνήλιος Δουκάς,1974-06-02,Άρτα,306-15-4711,M,47801457,"display1,Google - display1,Google - display3,Google - display1,Twitter - display3,Twitter"
63724329,47801457,1525704394,270000,Buying a pet,REJECTED,7,,34830,Κορνήλιος Δουκάς,1974-06-02,Άρτα,306-15-4711,M,47801457,
59236281,91506,1542222356,250000,Home purchase,REJECTED,7,,ΤΚ 201 22,Ανθούλης Μαρκόπουλος,1984-02-11,Άρτα,027-19-3151,M,91506,
49995516,91506,1513032676,240000,Buying a pet,ACCEPTED,14,,ΤΚ 201 22,Ανθούλης Μαρκόπουλος,1984-02-11,Άρτα,027-19-3151,M,91506,
50630638,30551667,1555862830,150000,Buying a pet,ACCEPTED,8.7,65005372,ΤΚ 56333,Μάρθα Μαλλή,1988-11-13,Άρτα,373-17-3816,M,30551667,"display2,Google - display2,Google - display1,Twitter - display2,Twitter - display1,Facebook"
17451814,23586675,1552471949,210000,Refinance existing loans,REJECTED,14,,57075,Ίκαρος Ανδριανός,1996-06-17,Άρτα,685-06-6195,F,23586675,
66008748,23586675,1526132288,200000,Buying a pet,ACCEPTED,7,,57075,Ίκαρος Ανδριανός,1996-06-17,Άρτα,685-06-6195,F,23586675,
94780635,33475700,1561495772,290000,Home purchase,ACCEPTED,8.7,,935 98,Αβραάμ Τεμουρτζίδης,1973-04-17,Άρτα,069-61-7480,F,33475700,
977570,57350773,1564763627,50000,Home purchase,ACCEPTED,6.7,,ΤΚ 209 34,Σωτήριος Δουμάς,1974-01-17,Άρτα,025-87-0779,F,57350773,
63022264,15297653,1541128200,250000,Refinance existing loans,ACCEPTED,8.7,,79964,Βελισσάριος Χριστακόπουλος,1980-07-01,Άρτα,795-06-8833,F,15297653,
89752940,4521589,1514411022,90000,Refinance existing loans,ACCEPTED,14,,96671,Κικιλία-Ιουλιανή Σγουρένα,1989-06-16,Άρτα,856-61-2418,F,4521589,
1317649,4521589,1553869943,40000,buying a pet,REJECTED,6.7,87933555,96671,Κικιλία-Ιουλιανή Σγουρένα,1989-06-16,Άρτα,856-61-2418,F,4521589,"display2,Google - display2,Google - display2,Google"
43210008,45222522,1515331862,100000,Refinance existing loans,ACCEPTED,7,93396750,04226,Βαλεντίνος Σωτηράλης,1985-05-18,Άρτα,712-35-9450,F,45222522,"display2,Facebook"
12256120,86329210,1528367826,150000,Refinance existing loans,REJECTED,8.7,1894470,90647,Δούκισσα Σταύρου,1986-05-16,Άρτα,025-30-9197,F,86329210,"display3,Google - display1,Twitter - display1,Facebook - display2,Facebook"
69365294,51384700,1539007470,300000,buying a pet,ACCEPTED,8.7,,493 62,Θεοφάνης Πικούνης,1995-10-30,Άρτα,589-82-2158,M,51384700,
87940734,65478780,1565562504,230000,Home purchase,ACCEPTED,7,,59238,Ανατολή-Τρυφωνία Νικολάου,1990-03-27,Άρτα,981-34-0255,M,65478780,
52520125,67563904,1526919330,210000,buying a pet,ACCEPTED,7,,748 41,Πέτρος-Νίκανδρος Πιάγκος,1992-06-03,Άρτα,881-35-6919,M,67563904,
32038246,67563904,1536725189,250000,Home purchase,REJECTED,8.7,,748 41,Πέτρος-Νίκανδρος Πιάγκος,1992-06-03,Άρτα,881-35-6919,M,67563904,
62485365,18547842,1565388290,300000,Refinance existing loans,ACCEPTED,7,38747944,ΤΚ 483 08,Χριστόδουλος Τσιάρας,1979-10-16,Άρτα,427-11-4564,M,18547842,"display2,Google - display2,Facebook"
94508393,37546883,1519714659,50000,Refinance existing loans,ACCEPTED,6.7,,19827,Αχιλλέας Λέλεκας,1981-03-31,Άρτα,898-37-1661,M,37546883,
46182297,37546883,1553930261,120000,buying a pet,REJECTED,6.7,,19827,Αχιλλέας Λέλεκας,1981-03-31,Άρτα,898-37-1661,M,37546883,
77946809,11190408,1526100746,270000,Buying a pet,REJECTED,8.7,,ΤΚ 22266,Τζανέτος Χρυσικός,1991-05-24,Άρτα,255-18-7668,M,11190408,
31066292,11190408,1542189722,200000,Buying a pet,REJECTED,6.7,,ΤΚ 22266,Τζανέτος Χρυσικός,1991-05-24,Άρτα,255-18-7668,M,11190408,
68983679,7810441,1552853897,270000,Home purchase,ACCEPTED,14,,ΤΚ 492 48,Χριστόφορος Σαμακίδης,1985-03-09,Άρτα,385-46-6435,F,7810441,
92132705,53060489,1532089679,100000,home purchase,ACCEPTED,8.7,,42412,Ιωάννα Σαλέμη,1991-10-07,Άρτα,198-90-8426,M,53060489,
90402900,53060489,1534934798,190000,Buying a pet,REJECTED,8.7,,42412,Ιωάννα Σαλέμη,1991-10-07,Άρτα,198-90-8426,M,53060489,
38780176,96769162,1562616854,290000,buying a pet,REJECTED,6.7,51294485,71466,Μάρκος Κωτούλας,1975-12-28,Άρτα,389-02-5019,F,96769162,"display1,Google - display2,Google - display3,Twitter - display2,Facebook"
98178909,58012812,1523296383,40000,Buying a pet,ACCEPTED,14,,ΤΚ 18770,Σπήλιος Ρίγκος,1993-05-04,Άρτα,864-13-1207,F,58012812,
6089800,58012812,1519271704,120000,Refinance existing loans,REJECTED,14,,ΤΚ 18770,Σπήλιος Ρίγκος,1993-05-04,Άρτα,864-13-1207,F,58012812,
78980574,49393295,1521794283,60000,buying a pet,ACCEPTED,7,,ΤΚ 04583,Ορέστης Κωνσταντάς,1992-07-19,Άρτα,576-49-2882,F,49393295,
64486357,49393295,1558535332,30000,Buying a pet,ACCEPTED,8.7,,ΤΚ 04583,Ορέστης Κωνσταντάς,1992-07-19,Άρτα,576-49-2882,F,49393295,
65540794,12441747,1509207989,200000,Home purchase,ACCEPTED,8.7,,68777,Αγαθάγγελος-Μίνωας Παλλάς,1975-09-26,Άρτα,995-03-5194,M,12441747,
87366564,12441747,1547613845,290000,home purchase,ACCEPTED,6.7,,68777,Αγαθάγγελος-Μίνωας Παλλάς,1975-09-26,Άρτα,995-03-5194,M,12441747,
23353763,41047446,1565945341,260000,home purchase,REJECTED,8.7,,650 17,Δαμασκηνός Πιπεράκης,1974-08-03,Άρτα,869-15-5097,F,41047446,
8812071,41047446,1551614226,200000,Refinance existing loans,REJECTED,7,,650 17,Δαμασκηνός Πιπεράκης,1974-08-03,Άρτα,869-15-5097,F,41047446,
41839134,56097687,1560326371,20000,Buying a pet,REJECTED,14,,ΤΚ 833 38,Μαυρούδης Μωρός,1996-02-18,Άρτα,149-57-4815,F,56097687,
41198584,66122137,1558486029,290000,buying a pet,REJECTED,7,,ΤΚ 30033,Κυπαρισσία Χουρζαμάνη,1976-05-22,Άρτα,980-31-4331,F,66122137,
9413605,6702490,1543280632,240000,Buying a pet,ACCEPTED,7,,ΤΚ 930 53,Ηώ Χριστοδούλου,1974-12-01,Άρτα,427-50-8321,M,6702490,
42689698,36763546,1554258728,50000,Refinance existing loans,ACCEPTED,6.7,,ΤΚ 810 20,Νεόφυτος Βιολάτος,1987-09-15,Άρτα,163-09-9030,F,36763546,
80518075,45088154,1544602218,100000,home purchase,REJECTED,7,,ΤΚ 936 93,Ελένη Σεβαστού,1982-01-22,Άρτα,374-91-4229,M,45088154,
91211591,44194973,1549106523,60000,buying a pet,ACCEPTED,6.7,,07696,Σόλων Τσιάκος,1993-05-19,Άρτα,547-30-0292,M,44194973,
88000937,23318685,1520472316,210000,Home purchase,REJECTED,7,,ΤΚ 61385,Πολύβια Δουλουφάκη,1979-07-07,Άρτα,395-62-2764,F,23318685,
90672669,20746910,1569718136,300000,Home purchase,ACCEPTED,14,66285220,34620,Αναξαγόρας Γκαλίου,1993-01-05,Άρτα,065-10-8436,F,20746910,"display3,Twitter - display2,Facebook"
32744897,20746910,1556047698,20000,Buying a pet,ACCEPTED,7,,34620,Αναξαγόρας Γκαλίου,1993-01-05,Άρτα,065-10-8436,F,20746910,
